ID	Task Name	Start	Finish	Duration	Complete	Resource	任务层次	从属关系	左标签	右标签	Task Code	Estimated Hours
1	M1	2021-05-10 09:00	2021-05-28 18:00	15.0 日	16%		0				1	
2	中文设计文档	2021-05-10 09:00	2021-05-21 18:00	10.0 日	45%		1				1.1	
3	编写	2021-05-10 09:00	2021-05-21 18:00	10.0 日	40%	王南	2				1.1.1	2
4	支撑	2021-05-10 09:00	2021-05-21 18:00	10.0 日	50%	胡聪/李金辉	2				1.1.2	12
5	英文转译	2021-05-10 09:00	2021-05-26 18:00	13.0 日	0%		1				1.2	
6	内部评审	2021-05-10 09:00	2021-05-26 18:00	13.0 日	0%		1				1.3	
7	中文	2021-05-10 09:00	2021-05-14 18:00	5.0 日	0%	胡聪/李金辉	2				1.3.1	1
8	英文	2021-05-21 09:00	2021-05-26 18:00	4.0 日	0%	胡聪/李金辉	2				1.3.2	1
9	外部评审	2021-05-10 09:00	2021-05-28 18:00	15.0 日	0%	胡聪/李金辉	1				1.4	2
10	M2	2019-10-09 09:00	2021-10-11 18:00	524.0 日	0%		0					
11	支撑Intel验收	2021-10-08 09:00	2021-10-11 18:00	2.0 日	0%		1				2.1	
12	整理资料	2021-10-08 09:00	2021-10-11 18:00	2.0 日	0%		2				2.1.1	0.5
13	测试支撑	2021-10-08 09:00	2021-10-11 18:00	2.0 日	0%		2				2.1.2	5
14	本地CI	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		1				2.2	
15	准备	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.2.1	6
16	脚本调测	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.2.2	5
17	脚本更新*	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.2.3	
18	用例BGP	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		1				2.3	
19	场景学习	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.3.1	2
20	脚本编写	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.3.2	1
21	验证	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.3.3	1
22	报告	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.3.4	1
23	开发协助	2019-10-09 09:00	2019-10-15 18:00	5.0 日	0%		2				2.3.5	
24	M3	2019-10-16 09:00	2019-10-25 18:00	8.0 日	0%		0					
25	Task Name	2019-10-16 09:00	2019-10-17 18:00	2.0 日	0%		1					
26	Task Name	2019-10-17 09:00	2019-10-23 18:00	5.0 日	0%		1					
27	Task Name	2019-10-22 09:00	2019-10-25 18:00	4.0 日	0%		1					
28	M4	2019-10-25 09:00	2019-10-25 18:00	1.0 日	0%		0					
29	Task Name	2019-10-25 09:00	2019-10-25 18:00	1.0 日	0%		1					
30	M5	2019-10-25 09:00	2019-10-25 18:00	1.0 日	0%		0					
31	其它	2019-10-25 09:00	2019-10-25 18:00	1.0 日	0%		0					
